,artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness,cluster number
19,Taylor Swift,Red (Taylor's Version),22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,0.642,0.695,-5.62,0.0281,1.02e-05,0.0753,1
20,Taylor Swift,Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,0.567,0.686,-6.139,0.175,1.86e-06,0.0732,1
21,Taylor Swift,Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,0.584,0.557,-6.371,0.0342,0.0,0.0576,1
22,Taylor Swift,Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,0.631,0.518,-8.771,0.0303,0.0,0.088,2
23,Taylor Swift,folklore,the 1,0Jlcvv8IykzHaSmj49uNW8,0.777,0.357,-6.942,0.0522,7.28e-06,0.108,2
24,Taylor Swift,folklore,betty,5kI4eCXXzyuIUXjQra0Cxi,0.593,0.377,-8.761,0.0253,0.0,0.0976,2
25,Taylor Swift,folklore,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,0.686,0.662,-8.505,0.0413,0.0023,0.109,1
26,Taylor Swift,folklore,august,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,-9.208,0.0331,7.28e-05,0.0925,2
27,Taylor Swift,folklore,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,0.559,0.31,-10.445,0.0338,0.0,0.106,2
28,Taylor Swift,folklore,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,0.456,0.263,-10.63,0.0332,0.0,0.0749,0
29,Taylor Swift,folklore,cardigan,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,-8.588,0.0424,0.000345,0.25,1
30,Taylor Swift,1989 (Deluxe),Style,0ug5NqcwcFR2xrfTkc7k8e,0.588,0.791,-5.595,0.0402,0.00258,0.118,1
31,Taylor Swift,1989 (Deluxe),Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,0.76,0.703,-5.412,0.054,0.0,0.0913,1
32,Taylor Swift,1989 (Deluxe),Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,-5.384,0.165,0.0,0.334,1
33,Taylor Swift,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,0.583,0.67,-7.289,0.0646,0.0001,0.126,1
34,Taylor Swift,1989,Bad Blood,0TvQLMecTE8utzoNmvXRbK,0.652,0.802,-6.114,0.181,6.45e-06,0.148,1
35,Taylor Swift,folklore,mirrorball,0ZNU020wNYvgW84iljPkPP,0.553,0.413,-10.037,0.0334,2.33e-06,0.0594,2
36,Taylor Swift,Taylor Swift,Tim McGraw,2Fn01AIMyHbha2ceNQeOqw,0.58,0.491,-6.462,0.0251,0.0,0.121,1
37,Taylor Swift,Midnights (3am Edition),Lavender Haze,4g2c7NoTWAOSYDy44l9nub,0.735,0.444,-10.519,0.0684,0.0012,0.17,2
38,Taylor Swift,Midnights (3am Edition),Anti-Hero,02Zkkf2zMkwRGQjZ7T4p8f,0.638,0.634,-6.582,0.0457,1.23e-06,0.152,1
39,Taylor Swift,Midnights (3am Edition),Midnight Rain,6Nl7KyvjkFncGsjB49SxLl,0.636,0.377,-11.721,0.0708,6.51e-05,0.115,2
40,Taylor Swift,Midnights (3am Edition),Vigilante Shit,5yeuXkukVGuix3vmLu2BPJ,0.87,0.279,-11.134,0.364,1.74e-05,0.121,2
41,Taylor Swift,Midnights (3am Edition),Bejeweled,0jvo9CjnbR0lYUDTSNTMiu,0.7,0.55,-9.13,0.0653,0.000102,0.091,2
42,Taylor Swift,Midnights (3am Edition),Mastermind,56hioFjQ0DXrdn04hZcFgG,0.661,0.352,-14.077,0.117,0.00147,0.0884,2
43,Taylor Swift,Midnights (3am Edition),Karma,5oqDgw5VGBln5dSIOPWyBq,0.649,0.622,-7.054,0.0582,0.0,0.594,1
44,beabadoobee,Beatopia,10:36,0P4OHmZ7t092na79ElH7F5,0.611,0.928,-4.543,0.0408,0.0171,0.0667,1
45,Phoebe Bridgers,Stranger in the Alps,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,0.651,0.546,-9.021,0.0357,0.0437,0.0842,2
46,Gracie Abrams,minor,21,5meVa5klVlJalupZTvv5XX,0.759,0.665,-6.338,0.0861,0.0,0.109,1
47,HAIM,Women In Music Pt III (Expanded Edition),Now I'm In It - Bonus Track,1DR2KXb0UvibcLsdDGVwwt,0.717,0.707,-9.495,0.0628,0.000117,0.161,1
48,girl in red,we fell in love in october / October Passed Me By,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,0.566,0.366,-12.808,0.028,0.181,0.155,2
49,MUNA,MUNA,Silk Chiffon,5ECxiK4Vigo1yRRmAoZc1f,0.622,0.739,-6.219,0.0441,0.0,0.111,1
50,Paramore,This Is Why,This Is Why,7z84Fwf1R3Z2BwHCP620CI,0.723,0.737,-7.566,0.0386,0.00261,0.116,1
51,Owenn,Baby Girl,Baby Girl,5hAF7tv0T8VCNudkNXGd71,0.559,0.721,-6.178,0.0363,0.0,0.12,1
52,GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,-5.692,0.0493,0.0,0.367,1
53,Olivia Rodrigo,SOUR,brutal,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,-6.446,0.0599,1.37e-06,0.28,1
54,Olivia Rodrigo,SOUR,traitor,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,-7.885,0.0338,0.0,0.12,0
55,Olivia Rodrigo,SOUR,drivers license,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,-8.81,0.0578,1.42e-05,0.106,2
56,Olivia Rodrigo,SOUR,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,0.473,0.203,-12.627,0.102,0.0,0.126,0
57,Olivia Rodrigo,SOUR,deja vu,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,-7.222,0.112,5.7e-06,0.37,1
58,Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,-5.044,0.154,0.0,0.0849,1
59,Olivia Rodrigo,SOUR,enough for you,2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,-10.706,0.0898,0.0,0.219,2
60,Olivia Rodrigo,SOUR,happier,2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,-9.72,0.133,9.67e-06,0.0839,0
61,Olivia Rodrigo,SOUR,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,-6.334,0.116,0.0,0.0614,1
62,Olivia Rodrigo,SOUR,favorite crime,5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,-10.497,0.0364,0.0,0.147,0
63,Olivia Rodrigo,"All I Want (From ""High School Musical: The Musical: The Series"")","All I Want - From ""High School Musical: The Musical: The Series""",4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,-6.585,0.0328,0.0,0.0912,0
64,Olivia Rodrigo,SOUR,hope ur ok,1zejeOnykpCoyVSit6Bwp3,0.443,0.298,-12.181,0.0644,1e-05,0.103,0
