artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Taylor Swift,1989 (Deluxe),Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,0.76,0.703,-5.412,0.054,0.0,0.0913
Taylor Swift,1989 (Deluxe),Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,-5.384,0.165,0.0,0.334
Taylor Swift,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,0.583,0.67,-7.289,0.0646,0.0001,0.126
Taylor Swift,1989,Bad Blood,0TvQLMecTE8utzoNmvXRbK,0.652,0.802,-6.114,0.181,6.45e-06,0.148
Taylor Swift,folklore,mirrorball,0ZNU020wNYvgW84iljPkPP,0.553,0.413,-10.037,0.0334,2.33e-06,0.0594
Taylor Swift,Taylor Swift,Tim McGraw,2Fn01AIMyHbha2ceNQeOqw,0.58,0.491,-6.462,0.0251,0.0,0.121
Taylor Swift,Midnights (3am Edition),Lavender Haze,4g2c7NoTWAOSYDy44l9nub,0.735,0.444,-10.519,0.0684,0.0012,0.17
Taylor Swift,Midnights (3am Edition),Anti-Hero,02Zkkf2zMkwRGQjZ7T4p8f,0.638,0.634,-6.582,0.0457,1.23e-06,0.152
Taylor Swift,Midnights (3am Edition),Midnight Rain,6Nl7KyvjkFncGsjB49SxLl,0.636,0.377,-11.721,0.0708,6.51e-05,0.115
Taylor Swift,Midnights (3am Edition),Vigilante Shit,5yeuXkukVGuix3vmLu2BPJ,0.87,0.279,-11.134,0.364,1.74e-05,0.121
Taylor Swift,Midnights (3am Edition),Bejeweled,0jvo9CjnbR0lYUDTSNTMiu,0.7,0.55,-9.13,0.0653,0.000102,0.091
Taylor Swift,Midnights (3am Edition),Mastermind,56hioFjQ0DXrdn04hZcFgG,0.661,0.352,-14.077,0.117,0.00147,0.0884
Taylor Swift,Midnights (3am Edition),Karma,5oqDgw5VGBln5dSIOPWyBq,0.649,0.622,-7.054,0.0582,0.0,0.594
beabadoobee,Beatopia,10:36,0P4OHmZ7t092na79ElH7F5,0.611,0.928,-4.543,0.0408,0.0171,0.0667
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,0.651,0.546,-9.021,0.0357,0.0437,0.0842
Gracie Abrams,minor,21,5meVa5klVlJalupZTvv5XX,0.759,0.665,-6.338,0.0861,0.0,0.109
HAIM,Women In Music Pt III (Expanded Edition),Now I'm In It - Bonus Track,1DR2KXb0UvibcLsdDGVwwt,0.717,0.707,-9.495,0.0628,0.000117,0.161
girl in red,we fell in love in october / October Passed Me By,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,0.566,0.366,-12.808,0.028,0.181,0.155
MUNA,MUNA,Silk Chiffon,5ECxiK4Vigo1yRRmAoZc1f,0.622,0.739,-6.219,0.0441,0.0,0.111
Paramore,This Is Why,This Is Why,7z84Fwf1R3Z2BwHCP620CI,0.723,0.737,-7.566,0.0386,0.00261,0.116
Owenn,Baby Girl,Baby Girl,5hAF7tv0T8VCNudkNXGd71,0.559,0.721,-6.178,0.0363,0.0,0.12
GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,-5.692,0.0493,0.0,0.367
